make,model_year,engine_type,vehicle_age,mileage,driving_condition,service_interval,days_since_service,oil_level,tire_pressure,brake_wear,fault_codes,maintenance_cost
Honda,2021,diesel,3,98648.5,mixed,180,92,Medium,29.2,100.0,0,543.81
Chevrolet,2023,electric,1,9880.7,mixed,90,41,N/A,31.8,21.3,0,138.05
Honda,2014,diesel,10,207373.7,mixed,180,93,Medium,29.8,100.0,2,687.9
Chevrolet,2014,gas,10,172513.2,mixed,365,105,High,31.6,100.0,0,535.25
Chevrolet,2023,electric,1,22028.7,city,180,132,N/A,32.5,64.0,0,421.41
Chevrolet,2023,electric,1,24641.0,city,180,177,N/A,31.8,60.2,0,363.11
Honda,2012,gas,12,430812.2,highway,365,340,Low,28.7,100.0,0,466.08
Chevrolet,2023,electric,1,23509.6,city,180,57,N/A,32.4,68.4,0,236.96
Toyota,2010,diesel,14,507008.9,mixed,90,78,Low,30.1,100.0,0,804.85
BMW,2021,electric,3,57678.9,city,365,211,N/A,31.1,100.0,0,348.02
Honda,2014,gas,10,120195.2,mixed,365,7,High,35.2,100.0,1,576.03
Honda,2023,gas,1,14992.5,highway,90,30,High,35.9,22.3,0,162.03
Tesla,2010,gas,14,198391.7,mixed,180,11,High,29.1,100.0,1,633.92
Toyota,2010,diesel,14,505380.3,mixed,90,20,High,37.7,100.0,3,890.19
Tesla,2011,gas,13,473684.6,city,180,93,Medium,31.5,100.0,0,475.39
BMW,2014,electric,10,75750.9,mixed,365,90,N/A,31.2,100.0,1,614.36
BMW,2020,electric,4,66898.8,highway,180,32,N/A,30.3,89.5,1,521.1
Toyota,2021,gas,3,78050.1,mixed,90,25,High,33.2,100.0,0,612.16
BMW,2016,diesel,8,140418.5,city,365,355,Low,38.9,100.0,0,693.36
Honda,2011,electric,13,346423.2,mixed,365,167,N/A,28.4,100.0,3,531.84
Chevrolet,2017,diesel,7,131803.1,mixed,180,14,High,26.8,100.0,1,536.88
Toyota,2011,electric,13,184551.8,mixed,90,0,N/A,33.8,100.0,0,191.67
Honda,2020,diesel,4,39801.1,city,90,10,High,34.7,100.0,0,487.76
Ford,2019,gas,5,51891.1,city,365,54,High,33.2,100.0,2,744.27
BMW,2017,electric,7,129239.7,highway,180,1,N/A,34.8,100.0,2,523.33
Ford,2014,gas,10,276882.2,mixed,365,64,High,29.6,100.0,2,679.06
Chevrolet,2011,gas,13,336277.1,highway,90,43,High,30.2,100.0,0,421.62
Chevrolet,2017,diesel,7,129243.2,city,365,271,Medium,33.4,100.0,1,759.94
Honda,2013,diesel,11,158821.3,mixed,90,21,High,38.3,100.0,1,813.29
Chevrolet,2023,diesel,1,13429.5,highway,180,105,Medium,34.7,18.6,0,245.23
Honda,2014,diesel,10,208007.8,mixed,180,145,Low,34.8,100.0,1,703.85
Ford,2010,electric,14,344301.4,city,180,174,N/A,29.8,100.0,1,494.05
Tesla,2023,gas,1,27638.1,city,365,208,Medium,34.3,65.7,0,435.19
Chevrolet,2011,electric,13,271189.4,mixed,365,285,N/A,29.5,100.0,2,487.89
Honda,2012,gas,12,429250.2,highway,365,9,High,38.3,100.0,2,488.44
Honda,2022,diesel,2,52957.8,city,90,57,Medium,30.0,100.0,0,717.85
BMW,2015,gas,9,164541.8,mixed,180,61,High,30.6,100.0,2,642.79
Chevrolet,2010,diesel,14,408375.0,mixed,180,84,High,28.6,100.0,4,838.06
Ford,2016,gas,8,170452.5,highway,180,133,Medium,33.3,100.0,0,433.31
Honda,2012,diesel,12,149636.0,mixed,90,66,Medium,33.1,100.0,2,692.96
Honda,2011,electric,13,347412.7,mixed,365,296,N/A,37.5,100.0,1,464.07
Toyota,2020,electric,4,130260.2,city,365,170,N/A,35.3,100.0,0,368.46
BMW,2016,diesel,8,267733.4,mixed,90,84,Low,30.6,100.0,0,782.59
Tesla,2018,gas,6,198809.4,highway,365,17,High,35.6,100.0,1,581.14
Tesla,2011,gas,13,279692.4,city,365,313,Low,29.3,100.0,4,1010.95
Honda,2021,electric,3,97819.1,highway,90,59,N/A,30.8,100.0,0,414.84
Tesla,2018,gas,6,197735.4,highway,365,87,High,33.4,100.0,1,612.25
BMW,2011,diesel,13,318272.4,mixed,365,26,High,29.6,100.0,1,494.62
BMW,2010,gas,14,409715.4,mixed,365,67,High,36.2,100.0,3,708.49
Honda,2014,gas,10,99623.4,mixed,365,277,Low,39.8,100.0,0,483.23
Ford,2015,electric,9,292140.2,highway,180,151,N/A,32.1,100.0,2,536.67
Chevrolet,2023,electric,1,25715.5,city,180,39,N/A,31.0,66.5,1,374.79
Honda,2020,diesel,4,39153.1,city,90,73,Low,32.6,97.5,1,723.51
Ford,2014,diesel,10,266786.7,mixed,365,65,High,31.3,100.0,0,504.41
BMW,2010,electric,14,152912.3,highway,365,167,N/A,33.8,100.0,0,382.89
Chevrolet,2014,gas,10,170876.5,mixed,365,261,Medium,29.0,100.0,3,694.72
Honda,2023,diesel,1,12724.2,mixed,180,111,Medium,34.0,26.2,0,370.77
Chevrolet,2023,electric,1,27211.9,city,180,17,N/A,38.7,75.1,1,390.31
BMW,2011,gas,13,421943.2,city,90,80,Low,27.0,100.0,1,462.97
Honda,2012,gas,12,110715.3,city,180,101,Medium,29.5,100.0,2,659.99
Chevrolet,2023,diesel,1,11719.1,highway,180,109,Medium,31.7,15.0,0,210.79
Ford,2014,gas,10,277389.5,mixed,365,285,Low,34.6,100.0,4,765.72
Toyota,2023,electric,1,22927.6,mixed,365,148,N/A,35.7,44.8,0,211.32
Tesla,2017,gas,7,57691.5,mixed,365,317,Low,35.4,100.0,0,394.75
Honda,2014,diesel,10,206711.8,mixed,180,137,Low,27.9,100.0,0,654.53
Tesla,2012,gas,12,205772.8,mixed,180,119,Medium,31.0,100.0,2,670.92
Honda,2012,diesel,12,359823.7,highway,90,12,High,30.3,100.0,1,565.88
Chevrolet,2021,diesel,3,93538.7,mixed,180,75,High,32.8,100.0,0,514.19
Chevrolet,2014,gas,10,171910.7,mixed,365,8,High,33.1,100.0,2,526.55
Tesla,2015,gas,9,85444.1,mixed,180,38,High,28.9,100.0,1,583.82
Ford,2022,diesel,2,38016.5,highway,90,23,High,31.7,53.6,0,190.59
Chevrolet,2017,diesel,7,127391.3,mixed,180,124,Medium,34.7,100.0,0,620.25
Ford,2021,diesel,3,81374.2,mixed,365,117,High,31.1,100.0,1,667.11
Ford,2019,gas,5,51006.4,city,365,289,Low,32.4,100.0,0,581.76
Tesla,2018,diesel,6,197804.5,highway,90,60,Medium,38.1,100.0,1,640.51
Chevrolet,2017,diesel,7,111354.8,city,180,168,Low,39.0,100.0,0,464.15
Honda,2013,gas,11,360464.9,city,90,4,High,26.5,100.0,0,530.36
BMW,2023,diesel,1,37592.1,mixed,90,78,Low,33.3,75.8,0,302.86
Ford,2022,electric,2,68897.4,mixed,90,49,N/A,40.0,100.0,0,302.73
BMW,2015,gas,9,164120.1,mixed,180,131,Medium,34.4,100.0,0,484.6
Honda,2013,gas,11,361931.4,city,90,50,Medium,33.1,100.0,1,699.13
Honda,2021,gas,3,101631.8,highway,90,51,Medium,36.9,100.0,1,560.36
Honda,2021,gas,3,102945.1,highway,90,38,High,33.7,100.0,1,473.17
Toyota,2010,diesel,14,147785.4,mixed,90,7,High,35.1,100.0,0,717.95
Tesla,2013,diesel,11,140135.5,mixed,365,44,High,32.4,100.0,1,536.33
Ford,2022,gas,2,30252.0,mixed,180,87,High,33.6,63.9,0,384.96
Honda,2012,diesel,12,358396.9,highway,90,27,High,34.3,100.0,0,493.43
Honda,2020,diesel,4,131648.9,city,180,118,Medium,35.6,100.0,0,436.27
Tesla,2011,gas,13,472839.5,city,180,106,Medium,31.7,100.0,1,594.21
BMW,2013,diesel,11,102194.6,mixed,180,26,High,31.6,100.0,0,710.67
Tesla,2020,gas,4,142826.6,mixed,90,64,Medium,27.2,100.0,0,489.81
Ford,2015,electric,9,295115.1,highway,180,161,N/A,31.8,100.0,1,287.02
Toyota,2010,diesel,14,149528.4,mixed,90,80,Low,35.9,100.0,2,864.25
BMW,2010,electric,14,152170.3,highway,365,356,N/A,34.4,100.0,0,412.51
Chevrolet,2023,electric,1,7968.6,mixed,365,61,N/A,30.0,11.0,0,84.86
Toyota,2015,gas,9,166617.0,mixed,90,61,Medium,27.3,100.0,0,547.87
Tesla,2020,gas,4,40998.0,highway,365,281,Low,32.6,44.5,0,339.3
Toyota,2011,electric,13,350028.9,city,180,120,N/A,35.8,100.0,1,624.56
Tesla,2023,gas,1,26590.8,city,365,279,Low,31.6,62.7,0,455.29
Honda,2012,diesel,12,147310.2,mixed,90,38,High,28.7,100.0,0,602.18
Honda,2022,diesel,2,52071.6,city,90,20,High,31.2,100.0,0,649.1
Toyota,2019,electric,5,110635.5,mixed,90,46,N/A,34.0,100.0,0,314.76
Chevrolet,2014,diesel,10,188538.4,city,180,114,Medium,36.7,100.0,2,911.87
Honda,2012,gas,12,431229.8,highway,365,175,High,32.2,100.0,4,714.8
Tesla,2010,gas,14,199819.9,mixed,180,120,Medium,36.2,100.0,2,847.0
Tesla,2011,gas,13,261387.2,city,90,12,High,35.8,100.0,3,799.66
Ford,2022,gas,2,30789.2,mixed,180,130,Medium,29.5,71.4,0,275.89
Chevrolet,2011,diesel,13,275466.3,mixed,180,159,Low,36.8,100.0,2,573.69
Tesla,2010,gas,14,259861.3,city,90,34,High,33.9,100.0,0,502.52
BMW,2011,gas,13,387389.8,city,365,274,Low,29.4,100.0,2,731.72
Chevrolet,2021,electric,3,86794.9,highway,90,13,N/A,38.3,100.0,0,443.73
Chevrolet,2014,gas,10,173055.4,mixed,365,175,High,32.6,100.0,0,355.5
BMW,2017,electric,7,126494.7,highway,180,80,N/A,27.2,100.0,2,544.24
Toyota,2012,diesel,12,87953.1,highway,180,122,Medium,30.9,100.0,0,484.31
Tesla,2012,gas,12,206893.9,mixed,180,67,High,30.1,100.0,2,579.48
Tesla,2014,diesel,10,211985.3,city,180,172,Low,31.0,100.0,0,582.03
BMW,2023,diesel,1,36534.0,mixed,90,18,High,31.7,70.4,0,374.11
BMW,2013,diesel,11,193375.6,highway,180,63,High,32.2,100.0,2,759.55
Honda,2018,diesel,6,79219.3,highway,90,65,Medium,32.1,100.0,1,643.38
BMW,2013,diesel,11,194329.1,highway,180,65,High,32.7,100.0,2,666.63
Honda,2011,electric,13,345344.7,mixed,365,330,N/A,34.8,100.0,1,354.03
Chevrolet,2023,electric,1,7540.4,mixed,365,44,N/A,30.8,6.9,0,157.01
BMW,2018,diesel,6,164621.8,city,365,86,High,36.5,100.0,0,653.78
Tesla,2014,gas,10,111076.3,highway,90,73,Low,29.3,100.0,1,572.12
BMW,2016,gas,8,259798.3,mixed,365,66,High,34.8,100.0,0,395.98
Chevrolet,2015,diesel,9,237063.4,highway,365,258,Medium,37.9,100.0,0,654.17
Honda,2012,diesel,12,299470.7,highway,365,204,Medium,32.5,100.0,4,901.58
Chevrolet,2015,electric,9,179809.8,city,180,169,N/A,33.6,100.0,1,379.67
Ford,2021,diesel,3,83444.9,mixed,365,177,High,30.1,100.0,0,724.08
Honda,2022,electric,2,48907.2,mixed,365,279,N/A,31.5,100.0,0,349.85
Toyota,2018,gas,6,76810.0,highway,90,87,Low,37.7,100.0,0,493.08
Honda,2020,diesel,4,129868.8,city,180,16,High,35.2,100.0,0,605.61
Toyota,2016,gas,8,233454.0,city,90,39,High,34.3,100.0,0,417.39
Chevrolet,2023,electric,1,10050.4,mixed,90,73,N/A,27.2,20.2,0,102.09
Tesla,2015,gas,9,86308.3,mixed,180,171,Low,30.9,100.0,0,402.85
Toyota,2015,gas,9,166248.7,mixed,90,22,High,38.2,100.0,1,540.42
Tesla,2010,diesel,14,388974.0,city,365,261,Medium,34.2,100.0,0,690.46
BMW,2016,diesel,8,269168.4,mixed,90,65,Medium,34.6,100.0,0,553.46
Honda,2020,diesel,4,131749.9,city,180,148,Low,33.5,100.0,0,498.71
Honda,2020,diesel,4,131372.1,city,180,118,Medium,31.2,100.0,0,551.67
BMW,2021,electric,3,56510.6,city,365,34,N/A,34.0,100.0,0,229.07
Honda,2014,gas,10,99247.3,mixed,365,28,High,28.4,100.0,1,503.07
Chevrolet,2017,diesel,7,129663.5,city,365,262,Medium,28.2,100.0,0,637.86
Ford,2016,electric,8,196095.0,highway,365,220,N/A,30.8,100.0,1,436.63
Chevrolet,2023,electric,1,23900.6,city,180,52,N/A,33.6,65.0,0,203.98
Ford,2018,diesel,6,156192.8,highway,180,164,Low,28.3,100.0,0,598.38
Honda,2020,diesel,4,47618.4,city,365,278,Low,33.4,100.0,1,788.84
Honda,2013,diesel,11,155021.3,mixed,90,7,High,30.0,100.0,1,652.69
Chevrolet,2023,electric,1,25070.1,city,180,75,N/A,30.4,73.4,0,334.63
Chevrolet,2017,diesel,7,110220.9,city,180,175,Low,36.9,100.0,0,543.57
Chevrolet,2018,electric,6,139804.5,highway,365,9,N/A,33.1,100.0,2,538.72
BMW,2011,gas,13,390510.5,city,365,116,High,30.3,100.0,0,410.24
Chevrolet,2023,electric,1,24158.0,city,180,23,N/A,33.6,64.0,0,231.12
Chevrolet,2018,electric,6,138728.8,highway,365,217,N/A,28.6,100.0,0,393.14
Toyota,2017,diesel,7,109425.5,highway,90,46,Medium,34.1,100.0,0,694.44
Toyota,2011,gas,13,234137.9,mixed,365,233,Medium,36.3,100.0,3,892.03
Tesla,2010,gas,14,259940.5,city,90,52,Medium,35.0,100.0,0,445.14
Chevrolet,2020,gas,4,119995.2,mixed,180,38,High,39.5,100.0,0,393.67
Honda,2023,diesel,1,12423.9,mixed,180,65,High,27.2,15.2,0,203.14
Tesla,2012,diesel,12,394789.9,city,365,5,High,33.4,100.0,1,557.28
Chevrolet,2021,electric,3,90049.5,highway,90,20,N/A,29.0,100.0,1,487.08
Toyota,2015,gas,9,166358.7,mixed,90,72,Low,32.5,100.0,1,614.65
Tesla,2022,electric,2,27393.5,highway,90,73,N/A,33.0,39.3,0,136.67
Toyota,2010,diesel,14,504730.2,mixed,90,35,High,39.8,100.0,1,762.44
Tesla,2023,gas,1,27444.1,city,365,232,Medium,32.8,71.1,0,388.3
Toyota,2013,electric,11,266089.4,mixed,180,169,N/A,32.8,100.0,1,434.29
Honda,2021,diesel,3,97518.3,mixed,180,172,Low,36.0,100.0,0,731.51
BMW,2013,gas,11,201863.4,mixed,180,43,High,32.8,100.0,1,516.6
Chevrolet,2015,electric,9,177425.1,city,180,90,N/A,38.5,100.0,0,413.1
BMW,2013,diesel,11,191611.0,highway,180,160,Low,35.0,100.0,0,666.77
Toyota,2013,diesel,11,371643.6,highway,365,315,Low,35.5,100.0,1,907.15
Tesla,2014,electric,10,319672.4,highway,180,92,N/A,27.4,100.0,2,518.91
Toyota,2015,gas,9,166869.1,mixed,90,82,Low,39.0,100.0,2,706.46
Honda,2011,diesel,13,289275.8,mixed,180,82,High,31.0,100.0,2,867.08
Honda,2018,diesel,6,80186.1,highway,90,69,Low,33.0,100.0,1,697.91
Tesla,2020,gas,4,142419.1,mixed,90,82,Low,31.0,100.0,0,405.72
Honda,2014,diesel,10,185311.1,city,180,76,High,29.9,100.0,0,396.9
Chevrolet,2011,gas,13,337303.7,highway,90,25,High,29.4,100.0,2,664.21
Tesla,2010,gas,14,200941.5,mixed,180,20,High,33.3,100.0,3,819.22
Tesla,2014,electric,10,323073.9,highway,180,119,N/A,27.1,100.0,2,528.03
Chevrolet,2014,diesel,10,189485.6,city,180,129,Medium,32.3,100.0,1,786.06
Tesla,2014,electric,10,322158.3,highway,180,174,N/A,36.2,100.0,0,339.14
BMW,2014,electric,10,136440.0,mixed,90,29,N/A,34.9,100.0,1,516.53
BMW,2015,gas,9,162742.9,mixed,180,26,High,34.3,100.0,1,582.47
Honda,2022,electric,2,47667.6,mixed,365,70,N/A,30.3,100.0,0,365.82
Tesla,2014,electric,10,323420.0,highway,180,147,N/A,28.2,100.0,2,587.53
Toyota,2020,electric,4,129639.0,city,365,49,N/A,36.1,100.0,1,434.18
Chevrolet,2011,gas,13,333966.0,highway,90,22,High,31.7,100.0,1,427.42
Tesla,2018,gas,6,196979.0,highway,365,336,Low,32.8,100.0,0,667.81
Tesla,2018,electric,6,211364.6,highway,180,131,N/A,32.4,100.0,1,389.15
Chevrolet,2017,diesel,7,109871.5,city,180,141,Low,35.0,100.0,0,503.51
Ford,2012,electric,12,329215.4,mixed,180,19,N/A,38.5,100.0,0,274.99
Ford,2013,diesel,11,169568.2,highway,90,12,High,37.4,100.0,1,584.78
Chevrolet,2011,gas,13,336540.1,highway,90,2,High,26.0,100.0,2,543.65
Ford,2014,gas,10,276880.6,mixed,365,223,Medium,32.1,100.0,1,662.78
Tesla,2023,gas,1,27893.4,city,365,174,High,29.0,74.1,0,323.85
Chevrolet,2015,electric,9,177567.8,city,180,130,N/A,35.8,100.0,2,492.47
Chevrolet,2020,gas,4,119774.1,mixed,180,128,Medium,33.0,100.0,0,504.29
Chevrolet,2015,electric,9,177485.2,city,180,89,N/A,34.8,100.0,2,529.84
Chevrolet,2015,diesel,9,91231.5,highway,180,151,Low,31.8,100.0,3,776.65
Ford,2022,gas,2,71560.3,highway,90,34,High,29.9,93.5,1,546.7
BMW,2014,electric,10,135649.2,mixed,90,13,N/A,30.4,100.0,1,399.31
Tesla,2013,diesel,11,139189.0,mixed,365,194,Medium,28.4,100.0,1,513.38
Tesla,2023,electric,1,34285.8,city,365,305,N/A,29.2,87.4,0,271.0
Toyota,2013,gas,11,176753.1,mixed,180,77,High,28.6,100.0,0,534.91
Toyota,2023,electric,1,20635.7,mixed,365,212,N/A,29.9,39.7,0,171.69
Chevrolet,2020,electric,4,91157.4,city,90,25,N/A,29.7,100.0,1,312.1
Toyota,2017,diesel,7,109798.1,highway,90,2,High,34.2,100.0,0,550.47
Honda,2019,electric,5,42144.1,highway,365,178,N/A,34.1,48.8,0,167.33
Chevrolet,2020,gas,4,119319.3,mixed,180,39,High,34.2,100.0,0,447.44
Ford,2022,electric,2,67356.8,mixed,90,67,N/A,36.5,100.0,0,445.1
Chevrolet,2021,diesel,3,104164.7,highway,90,35,High,32.8,100.0,1,780.67
Chevrolet,2015,electric,9,233824.6,mixed,90,50,N/A,30.7,100.0,0,396.07
Tesla,2012,gas,12,206126.9,mixed,180,0,High,39.6,100.0,2,574.38
Honda,2022,electric,2,48618.7,mixed,365,359,N/A,35.7,97.4,0,420.79
Ford,2012,electric,12,232274.5,city,90,32,N/A,33.5,100.0,1,409.8
Chevrolet,2015,electric,9,259729.6,highway,90,6,N/A,33.2,100.0,1,463.65
Toyota,2011,gas,13,233474.0,mixed,365,115,High,33.9,100.0,2,657.91
Chevrolet,2015,diesel,9,204114.6,highway,365,51,High,32.4,100.0,0,645.21
Honda,2022,electric,2,49220.9,mixed,365,141,N/A,33.4,99.8,0,439.79
Chevrolet,2010,diesel,14,408971.5,mixed,180,85,High,34.5,100.0,0,539.11
Ford,2012,electric,12,328199.6,mixed,180,45,N/A,30.8,100.0,1,368.4
BMW,2017,electric,7,127944.2,highway,180,75,N/A,28.1,100.0,0,453.43
Toyota,2010,diesel,14,423293.8,city,90,9,High,26.8,100.0,1,723.42
Ford,2012,electric,12,328120.2,mixed,180,151,N/A,35.7,100.0,1,321.68
Chevrolet,2015,diesel,9,203847.6,highway,365,60,High,28.3,100.0,3,868.61
BMW,2013,diesel,11,192884.3,highway,180,17,High,34.4,100.0,2,732.25
Ford,2010,electric,14,342263.6,city,180,85,N/A,29.5,100.0,1,390.34
Honda,2018,diesel,6,77451.8,highway,90,8,High,29.6,100.0,1,740.46
BMW,2019,electric,5,150286.4,city,180,144,N/A,30.8,100.0,0,350.77
Ford,2015,electric,9,230784.2,mixed,90,57,N/A,33.6,100.0,0,307.51
Honda,2020,diesel,4,49823.7,city,365,177,High,29.1,100.0,1,661.99
Honda,2014,diesel,10,186591.8,city,180,100,Medium,31.1,100.0,0,516.13
Honda,2012,gas,12,109501.5,city,180,5,High,32.9,100.0,2,518.58
Honda,2012,diesel,12,147907.0,mixed,90,84,Low,29.4,100.0,2,882.57
Chevrolet,2017,diesel,7,111357.0,city,180,50,High,37.3,100.0,1,593.85
Ford,2012,diesel,12,284947.8,city,365,35,High,27.8,100.0,2,728.64
Tesla,2010,diesel,14,388553.4,city,365,326,Low,32.3,100.0,1,736.73
Toyota,2017,diesel,7,242470.9,highway,365,355,Low,36.8,100.0,0,464.29
Chevrolet,2023,electric,1,6982.0,mixed,365,280,N/A,29.0,13.8,0,81.65
BMW,2018,electric,6,81718.3,city,180,138,N/A,32.7,100.0,1,398.41
Toyota,2012,diesel,12,86578.6,highway,180,43,High,33.4,100.0,1,558.51
Toyota,2011,electric,13,352755.4,city,180,13,N/A,30.6,100.0,2,641.24
Ford,2019,diesel,5,47032.5,mixed,180,28,High,32.8,90.5,2,604.85
Chevrolet,2021,diesel,3,105860.9,highway,90,73,Low,34.7,100.0,0,726.64
BMW,2017,electric,7,126886.1,highway,180,49,N/A,31.6,100.0,2,456.84
Chevrolet,2021,gas,3,80109.8,city,365,260,Medium,35.3,100.0,0,482.66
Toyota,2011,electric,13,183803.6,mixed,90,71,N/A,34.2,100.0,1,447.29
Tesla,2014,electric,10,321929.9,highway,180,109,N/A,31.3,100.0,2,643.76
Toyota,2020,electric,4,130255.3,city,365,196,N/A,36.4,100.0,0,359.46
Chevrolet,2017,diesel,7,110358.7,city,180,121,Medium,30.8,100.0,0,486.25
BMW,2010,electric,14,151454.4,highway,365,251,N/A,35.6,100.0,0,345.85
BMW,2013,electric,11,156189.2,highway,90,87,N/A,30.8,100.0,1,595.86
Tesla,2018,diesel,6,209417.3,mixed,365,312,Low,32.1,100.0,0,827.91
Tesla,2020,gas,4,39324.0,highway,365,25,High,32.5,57.5,0,164.31
Chevrolet,2015,electric,9,176117.7,city,180,5,N/A,34.0,100.0,1,398.25
Ford,2019,gas,5,50988.4,city,365,143,High,25.8,100.0,1,441.68
Toyota,2011,electric,13,350359.0,city,180,59,N/A,34.4,100.0,2,641.94
Ford,2012,electric,12,328833.7,mixed,180,99,N/A,32.7,100.0,2,535.29
BMW,2010,electric,14,153320.5,highway,365,267,N/A,33.9,100.0,1,471.84
Tesla,2010,gas,14,199833.3,mixed,180,74,High,34.5,100.0,1,637.71
Chevrolet,2015,diesel,9,202452.1,highway,365,2,High,34.2,100.0,1,716.33
Toyota,2013,electric,11,264541.3,mixed,180,62,N/A,27.0,100.0,1,413.74
Tesla,2018,gas,6,198190.4,highway,365,235,Medium,29.8,100.0,0,580.48
Honda,2016,electric,8,147565.7,highway,365,228,N/A,34.0,100.0,2,547.66
BMW,2019,electric,5,148646.9,city,180,133,N/A,33.6,100.0,0,380.09
Toyota,2013,electric,11,265189.3,mixed,180,18,N/A,30.6,100.0,0,403.83
Toyota,2017,diesel,7,110151.7,highway,90,17,High,35.2,100.0,0,618.45
Ford,2018,diesel,6,157191.2,highway,180,79,High,32.2,100.0,0,519.2
Tesla,2014,electric,10,320921.6,highway,180,170,N/A,35.7,100.0,1,418.88
Honda,2023,diesel,1,12213.2,mixed,180,72,High,36.6,15.7,0,128.38
Chevrolet,2010,diesel,14,409649.6,mixed,180,130,Medium,33.8,100.0,1,642.07
BMW,2015,gas,9,248590.8,city,365,125,High,34.7,100.0,2,484.59
Honda,2012,diesel,12,149284.3,mixed,90,71,Low,31.2,100.0,1,642.36
Chevrolet,2017,diesel,7,131817.0,city,365,37,High,35.7,100.0,0,504.91
Chevrolet,2021,gas,3,82009.1,city,365,323,Low,33.7,100.0,0,561.88
Toyota,2011,electric,13,350050.2,city,180,171,N/A,32.1,100.0,1,572.96
Toyota,2013,diesel,11,360223.9,city,180,79,High,29.3,100.0,0,626.99
Chevrolet,2015,electric,9,259354.3,highway,90,62,N/A,31.5,100.0,1,503.66
BMW,2010,gas,14,409835.8,mixed,365,297,Low,29.7,100.0,2,713.89
Honda,2020,diesel,4,48139.2,city,365,319,Low,35.3,100.0,0,732.91
Tesla,2015,gas,9,276129.2,mixed,180,77,High,36.7,100.0,2,759.86
Honda,2012,gas,12,108503.7,city,180,126,Medium,35.7,100.0,0,405.09
Tesla,2023,diesel,1,22153.1,mixed,180,104,Medium,40.0,42.1,0,311.58
Tesla,2018,gas,6,195954.3,highway,365,198,Medium,31.6,100.0,0,502.21
Honda,2021,gas,3,101330.5,highway,90,75,Low,34.8,100.0,0,537.07
Chevrolet,2011,gas,13,228389.9,mixed,365,164,High,29.5,100.0,1,538.42
Tesla,2023,electric,1,22780.6,highway,365,241,N/A,32.4,20.4,1,168.29
BMW,2019,electric,5,149824.0,city,180,131,N/A,28.6,100.0,0,358.69
Chevrolet,2015,diesel,9,90940.9,highway,180,129,Medium,34.7,100.0,2,782.99
Toyota,2010,diesel,14,148206.5,mixed,90,43,High,31.9,100.0,1,672.91
Chevrolet,2011,diesel,13,274857.9,mixed,180,101,Medium,26.8,100.0,2,576.91
